"xcoord","ycoord","lon","lat"
1002836,231271,-73.9328683278,40.8014418409
999544,226168,-73.9447704794,40.7874418013
1001346,231932,-73.9382484459,40.8032591129
1052520,158786,-73.7541476924,40.6022441889
1001048,226498,-73.939338428,40.7883448319
999304,227192,-73.9456348695,40.7902528181
998853,226372,-73.9472653667,40.7880028953
1022508,215392,-73.8619045849,40.7577949606
1021542,213647,-73.8654011146,40.7530095124
999273,226607,-73.9457481295,40.7886472032
1000617,239585,-73.9408629655,40.8242658372
993063,216978,-73.9681866435,40.7622265035
996836,187752,-73.9546214424,40.6820036475
987866,214721,-73.9869480991,40.7560352693
1000213,228835,-73.9423482562,40.7947608136
983781,207252,-74.001692328,40.7355354636
1003793,255251,-73.9293418292,40.8672579327
989340,203230,-73.9816364121,40.7244946055
995035,216480,-73.9610688754,40.7608574359
985538,202761,-73.9953532722,40.7232086848
1000968,226557,-73.9396271801,40.7885069228
1000625,225853,-73.9408675534,40.7865752739
985593,201072,-73.9951551852,40.718572779
1000103,230738,-73.942741038,40.7999842281
999229,226631,-73.9459069711,40.7887131515
1001623,228366,-73.9372571352,40.7934708763
1021292,247243,-73.8661181145,40.8452223051
994390,184441,-73.9634454244,40.6729188414
1052740,158797,-73.7533553262,40.6022726841
1005568,253728,-73.9229291234,40.8630736529
1004749,240880,-73.9259293259,40.8278116194
1005256,235169,-73.92411522,40.8121353492
998310,189345,-73.9493036436,40.6863738497
1033273,217926,-73.8230290423,40.7646969917
1000856,229996,-73.9400231363,40.7979462578
998819,234487,-73.9473705413,40.8102764095
1010165,192337,-73.9065464048,40.6945594246
1011477,251419,-73.9015757358,40.8567198989
999089,227613,-73.9464103776,40.7914087132
995671,190310,-73.9588174888,40.6890263517
999049,226734,-73.9465567704,40.788996162
1015420,211540,-73.8875071315,40.7472500341
984682,202369,-73.9984414953,40.7221328228
1020365,212382,-73.8696560756,40.7495422967
983713,169123,-74.0019346589,40.630880058
1005993,195450,-73.9215812392,40.7031151134
1017978,262492,-73.8780192282,40.8870894177
1004360,252847,-73.9272990421,40.8606584089
986831,209297,-73.9906859986,40.7411481177
1006301,254680,-73.9202759805,40.865684803
1018889,241871,-73.8748310731,40.8304874923
1032466,217798,-73.8259431886,40.7643501036
986382,198846,-73.9923096067,40.7124627866
985863,217347,-73.9941772692,40.7632435589
986010,202078,-73.9936506126,40.7213339336
998677,228166,-73.9478970877,40.792927231
998609,226985,-73.9481451936,40.7896858154
1012783,252612,-73.896849536,40.8599901996
1031454,178313,-73.8298732677,40.6559788304
979305,172965,-74.0178182499,40.6414241659
1000930,197100,-73.9398374677,40.7076549658
1014164,240519,-73.8919109931,40.826793909
1012993,196244,-73.8963315237,40.7052744863
1010563,246704,-73.9048983028,40.8437813986
997874,227396,-73.9507986725,40.7908150634
997845,227405,-73.950903384,40.7908398106
982738,209564,-74.0054563832,40.7418812136
982881,166150,-74.0049315163,40.6227197082
981852,164847,-74.0086377958,40.6191430261
1015308,244373,-73.8877595102,40.8373680739
999964,242120,-73.9432164386,40.831224873
999478,226054,-73.9450090763,40.7871290158
1004494,245750,-73.9268360397,40.8411789475
997430,226746,-73.9524033967,40.7890316616
987218,216295,-73.9892863511,40.7603557382
998746,229343,-73.9476453547,40.7961576639
998095,228167,-73.9499989702,40.7929309067
999132,233688,-73.9462416231,40.8080828546
999355,238983,-73.9454241617,40.8226157665
1010673,250112,-73.9044873055,40.8531350187
999007,229814,-73.9467016762,40.7974499987
981349,198508,-74.0104641278,40.7115348384
999378,230483,-73.945360217,40.7992855938
1041248,193383,-73.794447631,40.6972848392
991801,149387,-73.9728179502,40.5767055599
1000828,226646,-73.9401325348,40.7887514676
986760,206685,-73.9909431894,40.7339788446
1000940,230140,-73.9397193908,40.7983413402
1000275,229995,-73.9421215699,40.7979445858
985821,193040,-73.994334559,40.6965268001
1009305,170619,-73.9097284084,40.6349508421
999834,236320,-73.9436996724,40.8153057505
1009182,170235,-73.9101729881,40.6338971913
999428,171840,-73.9453118604,40.6383246576
1010831,252019,-73.9039086128,40.8583686868
988895,203950,-73.9832413761,40.7264710754
1004489,245740,-73.9268541404,40.8411515119
994407,231157,-73.9633136079,40.8011426519
1011397,257153,-73.9018417044,40.8724582283
1020862,240780,-73.8677075507,40.8274850544
1020587,240732,-73.8687014841,40.8273544439
1014912,244037,-73.8891921489,40.8364472358
1014244,211379,-73.8917520419,40.7468121968
1015821,236636,-73.8859419888,40.8161304131
1004509,243201,-73.9267895274,40.8341826499
990176,209253,-73.9786150053,40.7410257398
1010372,251078,-73.905571582,40.855787295
995328,178454,-73.9600737837,40.6564847318
1012007,197221,-73.8998837371,40.7079592668
989752,209484,-73.9801448935,40.7416600513
996124,238383,-73.9570991394,40.8209738706
992405,229411,-73.9705468154,40.7963524325
986680,215381,-73.9912287108,40.7578472064
985267,212563,-73.9963294792,40.7501127873
1015790,212379,-73.8861678641,40.749551564
1004964,183810,-73.9253282369,40.6711684621
997200,218914,-73.9532490847,40.7675352309
958697,162388,-74.0920346949,40.6123570592
1002647,183835,-73.9336807034,40.6712421995
989792,224853,-73.9799878746,40.7838439731
1031060,191755,-73.8311999141,40.6928761192
1035316,188430,-73.8158777305,40.6837262438
1045797,193653,-73.7780401342,40.6979954558
938922,168937,-74.1633025085,40.6302535729
1011535,214523,-73.9015160224,40.7554504501
1005294,239637,-73.9239639335,40.8243986579
1015734,177743,-73.8865319006,40.6544841525
992417,186296,-73.9705558168,40.6780124383
934627,139221,-74.1785577748,40.5486662492
1007413,192124,-73.9164712788,40.6939824199
1021451,186310,-73.8658806322,40.6779764639
1018107,212703,-73.8778038763,40.7504322936
996227,235376,-73.9567323659,40.8127203611
1022225,253087,-73.8627128496,40.861258364
1015249,235961,-73.888011595,40.8142797541
1030416,214530,-73.8333659866,40.7553912399
989237,223002,-73.9819933498,40.7787637994
938841,170107,-74.1636021978,40.6334645549
981920,170897,-74.0083949426,40.6357490217
988018,214637,-73.9863995043,40.7558046472
1017153,260532,-73.8810125503,40.8817129503
998183,186167,-73.9497681404,40.6776511648
1009004,180575,-73.9107763549,40.6622787367
987938,205208,-73.9866934321,40.7299244293
984535,185561,-73.9989725311,40.6759987921
987427,204289,-73.9885375906,40.727402197
1022065,211977,-73.8635228325,40.7484235686
1013583,242503,-73.8940016581,40.8322413657
1015037,243767,-73.8887416575,40.8357057296
989195,219902,-73.9821472812,40.7702551361
989387,190637,-73.9814764539,40.6899297695
1015077,243852,-73.8885967146,40.8359388903
1011927,251675,-73.8999479523,40.8574211426
1001523,218785,-73.9376429184,40.7671737698
1016589,248348,-73.8831109415,40.8482736786
1015553,212216,-73.887023987,40.7491050126
997294,234712,-73.9528790552,40.8108963551
987833,205031,-73.9870723739,40.7294386507
987183,209098,-73.9894158303,40.7406018025
1010446,171593,-73.905613679,40.6376209623
1021464,215330,-73.8656733264,40.7576292424
997851,230879,-73.9508746799,40.8003749879
950766,170377,-74.1206395149,40.6342587515
1021403,182404,-73.8660752143,40.6672555844
1005332,190407,-73.9239809986,40.6892748548
998753,230414,-73.94761776,40.7990972556
1010085,235008,-73.9066709501,40.8116806474
996146,236454,-73.9570230726,40.815679279
1007709,183494,-73.9154339099,40.670294265
1012918,252024,-73.896364009,40.85837588
1027498,202160,-73.8439778733,40.721453464
1020854,202695,-73.8679439171,40.722951894
987398,202661,-73.9886429822,40.7229337426
1001686,230021,-73.9370253128,40.7980132772
1009519,180676,-73.9089197049,40.6625545045
1021254,181801,-73.866615621,40.6656011093
1010270,248769,-73.9059492633,40.8494500809
1015154,181143,-73.8886066316,40.6638184402
1020592,187930,-73.8689688115,40.6824265597
1019998,216230,-73.870960168,40.7601055582
1004937,195338,-73.9253901732,40.7028102316
1014533,215726,-73.8906894687,40.758742616
999890,242936,-73.9434819398,40.8334646892
996540,172661,-73.9557161705,40.6405826047
1011591,181080,-73.9014496976,40.6636572386
1052360,160293,-73.7547086809,40.6063818117
999029,229180,-73.9466236134,40.7957098045
986967,199425,-73.9901992041,40.7140518433
1024791,244499,-73.8534881963,40.837675465
1011612,253618,-73.9010787409,40.8627550718
1033940,215805,-73.820636885,40.7588716803
1045793,199503,-73.7780010929,40.7140523025
983551,208788,-74.002522414,40.7397513882
1022162,189021,-73.8633020424,40.6854145169
990858,150524,-73.9762114449,40.5798271538
992062,228791,-73.97178634,40.7946510105
996551,223272,-73.9555840679,40.7794977252
1043686,217184,-73.7854452504,40.7625965251
997839,225593,-73.9509287181,40.7858663663
1009977,182507,-73.907261891,40.6675788715
1047651,180294,-73.7714796785,40.6613150659
1022401,261732,-73.8620273492,40.8849854454
986418,149059,-73.99219575,40.5758082149
999065,229913,-73.9464919774,40.7977216297
987521,201066,-73.9882000111,40.7185558077
1013153,251878,-73.8955151048,40.8579743878
1006833,180150,-73.9186029548,40.6611180095
984580,165058,-73.9988113022,40.6197224956
1043196,198719,-73.7873758603,40.7119180995
1043461,190767,-73.7864898961,40.6900900159
1006414,180638,-73.9201115726,40.6624585199
1007981,244635,-73.9142376051,40.8381099161
1037559,194576,-73.8077418159,40.7005823291
1024100,261325,-73.8558853677,40.8838608507
988682,205947,-73.9840085402,40.7319524617
1010878,180943,-73.9040202364,40.6632833772
1006579,241570,-73.9193145478,40.8297010345
1008404,244727,-73.9127085784,40.8383612824
1021004,181754,-73.8675170242,40.6654731463
1052707,158792,-73.7534742152,40.6022592151
1007069,180776,-73.91775021,40.6628356354
1021715,262322,-73.8645049558,40.8866077475
1017898,187702,-73.878683162,40.6818114031
997983,230378,-73.9503989352,40.7989996757
1043340,193789,-73.786899701,40.69838549
1042631,198747,-73.7894136213,40.7119986988
1030907,255537,-73.8313087125,40.8679412434
1008992,186404,-73.9107982129,40.6782780637
999924,226848,-73.9433966413,40.7893075528
1005800,243869,-73.9221220636,40.8360130604
1021540,201723,-73.8654744272,40.7202811268
1019600,243325,-73.8722541976,40.8344754827
994496,175887,-73.9630762941,40.6494398789
980614,195613,-74.0131137654,40.7035884762
1023417,187280,-73.8587870607,40.6806304103
1008278,249953,-73.9131452098,40.8527054539
995796,175743,-73.9583917064,40.6490430307
986129,200034,-73.993221878,40.7157236204
1040590,196082,-73.7967979945,40.7046971562
1044253,199010,-73.783560577,40.7127097175
1003968,183558,-73.9289194463,40.6704790531
1003358,182945,-73.9311201453,40.6687978431
988473,194750,-73.9847696745,40.7012194829
988194,220888,-73.9857605693,40.7729619519
986884,206952,-73.9904956568,40.7347116578
1039647,195586,-73.8002031898,40.7033417103
1040321,215772,-73.7976041114,40.7587429395
998519,236627,-73.94844972,40.8161506013
995634,174258,-73.9589780114,40.6449672369
1021146,181784,-73.8670050095,40.6655548989
1017700,180052,-73.8794350065,40.6608146365
1020962,255806,-73.8672639428,40.8687265289
997924,228908,-73.9506150255,40.7949650173
1008515,190996,-73.9125013925,40.6908833692
1023962,182899,-73.8568479306,40.6686031388
1020902,182309,-73.8678816742,40.666996919
990330,204403,-73.9780636526,40.7277135802
1021568,185710,-73.8654621395,40.6763291089
1005902,247465,-73.9217418438,40.8458827784
1019864,242526,-73.8713044129,40.8322813996
1001022,192760,-73.9395164446,40.6957425115
1039726,195270,-73.7999208697,40.7024738718
1010538,235677,-73.9050318668,40.8135155286
1022711,190151,-73.8613160852,40.6885137356
1010329,252246,-73.9057224784,40.8589932305
1040871,197491,-73.7957726648,40.7085627245
1007027,245405,-73.9176826862,40.8402258534
986087,184324,-73.993377669,40.6726033193
982605,185676,-74.0059305066,40.6763142929
986077,212114,-73.9934061776,40.7488802653
1028934,189210,-73.8388832789,40.6859016808
989125,188033,-73.9824230857,40.6827825341
1003625,181944,-73.9301605502,40.6660497416
1017885,256368,-73.8783863206,40.8702813068
1013758,176076,-73.8936606758,40.649915409
1003132,196628,-73.9318964743,40.7063550126
995863,175278,-73.9581510592,40.647766619
998819,230521,-73.9473791477,40.7993908328
999252,230263,-73.9458157991,40.7986819687
996099,190371,-73.9572740742,40.68919322
1013995,209637,-73.8926583826,40.7420316872
1006397,214828,-73.9200603856,40.7563019595
997374,234664,-73.9525901522,40.81076449
1012942,177037,-73.8965972413,40.6525558245
1033760,209488,-73.8213331268,40.7415341557
1002824,195871,-73.9330094552,40.7042778784
960276,153507,-74.0863160673,40.587984939
1040436,219472,-73.7971580782,40.7688977282
1007141,241554,-73.9172838264,40.8296556804
1021806,213740,-73.8644477353,40.7532636562
1007015,238235,-73.9177503856,40.8205462985
1034885,194333,-73.8173873589,40.699931057
1047435,156709,-73.7724790156,40.5965809776
1020964,255872,-73.86725635,40.8689076702
1012720,252400,-73.8970781894,40.8594085272
1017069,195586,-73.8816336824,40.7034542537
999060,229916,-73.9465100295,40.7977298723
1021301,185721,-73.8664246588,40.6763604229
999798,184501,-73.9439495167,40.6730756818
996903,185753,-73.9543836286,40.6765167506
1026952,225189,-73.8458013806,40.7846647818
1010041,181937,-73.907033371,40.6660141629
1016481,213089,-73.8836705514,40.7514978414
1012345,263323,-73.8983880442,40.8893899812
994843,231495,-73.9617382726,40.8020698573
1042929,154428,-73.7887242817,40.5903510878
1021216,181797,-73.8667526173,40.665590289
998096,227863,-73.9499959854,40.7920965073
1007525,242418,-73.9158932533,40.8320261079
1006558,192716,-73.9195525551,40.6956095185
1052645,161496,-73.7536701042,40.6096815922
1009677,243484,-73.9081127316,40.8349460357
998046,228073,-73.9501761261,40.7926729788
1021403,190455,-73.8660308298,40.689353732
1021862,190706,-73.8643743333,40.6900407297
986012,213226,-73.9936404776,40.7519324377
1042016,196143,-73.7916543228,40.704855392
1021910,188346,-73.8642144411,40.6835628741
986648,212528,-73.9913452349,40.7500164545
998555,234012,-73.9483252343,40.8089730978
1007571,245136,-73.9157175772,40.8394861071
991682,194034,-73.9731971489,40.6992521171
996407,150472,-73.9562353466,40.5796785512
1018455,213954,-73.8765415186,40.7538646292
1001871,234989,-73.9363440978,40.8116486995
1010386,181727,-73.9057905939,40.6654367482
1012643,252165,-73.8973575471,40.8587637711
1000089,229665,-73.9427941351,40.7970391611
1026969,225675,-73.8457369025,40.7859986379
1013014,175751,-73.8963432459,40.6490258029
998075,188214,-73.9501533071,40.6832698837
999705,195482,-73.9442595914,40.7032161624
999205,226651,-73.9459935967,40.7887680867
999389,228394,-73.9453251962,40.7935518382
1039689,195429,-73.8000530041,40.7029105202
994243,233657,-73.9639022436,40.8080046506
1009775,186072,-73.9079765397,40.6773645761
1000344,229070,-73.9418745754,40.7954055872
991297,187074,-73.9745928976,40.6801488344
1005633,194527,-73.9228825527,40.7005825729
1044754,156219,-73.7821372962,40.5952547384
999342,233575,-73.9454832925,40.8077723446
1009772,181307,-73.9080053967,40.6642857332
1007534,243078,-73.9158584399,40.8338375933
961932,156542,-74.0803638279,40.5963197261
1005312,181000,-73.9240825137,40.6634548194
1012648,214098,-73.8975004976,40.7542804294
1022285,212504,-73.8627258567,40.7498691055
1009923,183455,-73.9074529343,40.6701810752
1010775,209915,-73.904277381,40.7428049714
1000351,194575,-73.94193188,40.7007255087
999338,192781,-73.9455892737,40.6958031829
1002526,229992,-73.9339915125,40.7979319826
1010127,210857,-73.9066122379,40.7453924443
1007530,244009,-73.9158696635,40.8363929288
1040739,193802,-73.7962797212,40.6984381572
1012419,251454,-73.8981703081,40.856813008
998105,178069,-73.9500659918,40.6554240817
1019543,213692,-73.8726159053,40.7531412307
1012729,252450,-73.8970454411,40.859545733
1002584,248715,-73.9337308725,40.8493211716
1021850,239328,-73.8641456906,40.8234955815
1007780,242987,-73.9149697877,40.8335871727
984562,149388,-73.998876864,40.5767115149
1008091,243026,-73.9138457911,40.8336933823
1025717,237597,-73.8501843756,40.818727175
989881,154056,-73.9797256657,40.5895224665
997159,237487,-73.9533614001,40.8185131515
988026,205374,-73.9863758287,40.7303800215
1009957,237442,-73.9071240276,40.8183616662
1014238,212045,-73.8917707261,40.7486402183
986843,190345,-73.9906499945,40.6891294077
1022226,185320,-73.8630921367,40.6752558498
1009243,235970,-73.9097090945,40.8143234899
1000142,229760,-73.9426024898,40.7972998151
1017231,213338,-73.8809624026,40.7521785171
1014244,212163,-73.8917485453,40.748964078
1053982,158716,-73.7488835238,40.6020406707
1001129,238936,-73.9390146468,40.8224835531
997336,226796,-73.952742759,40.7891690379
1011483,252132,-73.9015511493,40.8586768506
1032175,191576,-73.8271804311,40.6923788389
1020282,237424,-73.8698213194,40.8182761803
1014426,184335,-73.8912164143,40.672582273
1016321,178734,-73.8844116466,40.6572021217
1011859,252256,-73.9001913783,40.8590160253
1043637,155756,-73.7861634416,40.5939914553
1004027,190207,-73.928687247,40.6887289133
1011921,253471,-73.8999622277,40.8623506382
989342,155384,-73.9816653265,40.5931678864
1000140,229744,-73.9426097511,40.797255903
1010880,182102,-73.9040084496,40.6664645672
1000719,229746,-73.9405185602,40.7972603323
1010533,236370,-73.905047216,40.8154176337
1000950,192476,-73.9397767966,40.6949631338
1020745,181696,-73.8684509247,40.6653150207
988669,173883,-73.9840764773,40.6439441567
1055351,193031,-73.7435918403,40.6962166137
1018336,185095,-73.8771171542,40.674654109
1007190,182916,-73.917306791,40.6687091448
987634,214846,-73.9877854369,40.7563784543
994833,160548,-73.9618858924,40.6073371628
1007579,241875,-73.9157000068,40.830535587
995884,190883,-73.9580484515,40.6905988272
998323,175416,-73.9492858464,40.6481418316
1005753,181924,-73.9224899933,40.6659899335
984003,212087,-74.0008914463,40.7488063424
1001728,234730,-73.9368613599,40.8109381008
1021359,239236,-73.8659202516,40.8232451443
962617,156317,-74.0778965247,40.5957038451
1001403,235184,-73.93803425,40.8121848412
1020608,237480,-73.8686432244,40.8184285486
1009475,258184,-73.9087873973,40.8752937068
1007145,192859,-73.9174352221,40.696000521
989563,190211,-73.9808421501,40.6887603936
997765,224415,-73.9511983095,40.782633184
1025698,238382,-73.8502481719,40.8208818647
1047441,156434,-73.7724599826,40.5958261178
989205,191110,-73.9821323811,40.6912281493
1001214,185382,-73.9388426261,40.6754912279
1005543,243410,-73.9230522733,40.8347538619
1011674,252336,-73.9008598394,40.8592361777
1007451,195227,-73.9163235571,40.7024993283
1007411,243852,-73.9163002531,40.8359623223
1014754,214132,-73.8898989724,40.754366736
1000817,238088,-73.9401440243,40.8201566239
999067,193175,-73.9465656938,40.696885079
1000489,237510,-73.9413304748,40.8185707861
996601,237379,-73.9553775826,40.8182175198
998291,239570,-73.9492672682,40.8242286702
1040985,193843,-73.7953922118,40.6985491186
999813,193497,-73.9438746628,40.6977676134
962213,155916,-74.079349947,40.594602186
1009713,244297,-73.9079795498,40.8371773805
1020241,218382,-73.8700714883,40.7660112517
997968,227938,-73.9504580966,40.7923025617
1020035,213111,-73.8708432092,40.7515445571
1006049,243075,-73.921224802,40.8338331495
1011821,240331,-73.9003777787,40.8262855274
979242,173370,-74.0180455575,40.6425357686
1014379,238402,-73.8911436348,40.8209826183
1005869,186804,-73.9220562064,40.6793841508
959803,169208,-74.0880758957,40.6310796471
1003381,230829,-73.9309010761,40.800227509
1019245,210596,-73.8737075949,40.7446446838
1010207,253625,-73.9061581766,40.8627785276
1013535,182044,-73.8944383924,40.6662969864
997433,209035,-73.9524272981,40.740419544
999204,215294,-73.9460224803,40.7575961016
998822,189420,-73.9474573556,40.6865788793
1008114,244866,-73.9137561295,40.8387435853
1000123,238693,-73.9426499895,40.821818452
999262,228164,-73.9457843733,40.7929207672
1010146,237049,-73.9064427127,40.8172824402
962458,155441,-74.0784662292,40.5932990128
965520,163674,-74.0674637531,40.6159039121
1001399,193738,-73.9381544093,40.6984261708
962120,168430,-74.0797258283,40.6289502936
995612,236117,-73.9589528358,40.8147550114
996260,184898,-73.956703284,40.6741708642
997305,184680,-73.952936424,40.6735710239
996805,178846,-73.9547497996,40.6575587147
1002433,185584,-73.9344474329,40.6760432523
1005731,243904,-73.9223713053,40.8361092933
1056417,196446,-73.7397110035,40.7055813195
1002948,230075,-73.9324671202,40.7981589121
1016341,217829,-73.8841532196,40.7645084281
1020765,213373,-73.8682070424,40.7522606955
1021515,191261,-73.8656225137,40.6915655429
1010098,244419,-73.9065877335,40.8375111165
951500,172672,-74.1180061283,40.6405607756
1002089,233265,-73.9355611541,40.8069163611
1012342,211422,-73.8986161493,40.7469364676
1001188,228610,-73.9388275287,40.7941414346
1005838,235427,-73.9220118996,40.812842084
1022302,183208,-73.8628300713,40.6694585642
1056173,157958,-73.7410014862,40.5999426128
1000669,237833,-73.9406793667,40.8194569973
