date,steps
2011-06-16,4380
2011-06-17,9860
2011-06-18,11116
2011-06-19,13052
2011-06-20,9374
2011-06-21,19046
2011-06-22,10997
2011-06-23,11148
2011-06-24,6581
2011-06-25,11264
2011-06-26,7625
2011-06-27,14285
2011-06-28,1784
2011-06-29,7606
2011-06-30,11517
2011-07-01,15898
2011-07-02,17213
2011-07-03,11193
2011-07-04,9430
2011-07-05,10450
2011-07-06,10995
2011-07-07,10574
2011-07-08,9305
2011-07-09,13698
2011-07-10,13439
2011-07-11,207
2011-07-12,19804
2011-07-13,12326
2011-07-14,15081
2011-07-15,14422
2011-07-16,20317
2011-07-17,12867
2011-07-18,7648
2011-07-19,13215
2011-07-20,4296
2011-07-21,12801
2011-07-22,6328
2011-07-23,11424
2011-07-24,10635
2011-07-25,8368
2011-07-26,18429
2011-07-27,13005
2011-07-28,15180
2011-07-29,13726
2011-07-30,10154
2011-07-31,12406
2011-08-01,13998
2011-08-02,13068
2011-08-03,12028
2011-08-04,12550
2011-08-05,7683
2011-08-06,14039
2011-08-07,16822
2011-08-08,7032
2011-08-09,8611
2011-08-10,12671
2011-08-11,12301
2011-08-12,7738
2011-08-13,10480
2011-08-14,7484
2011-08-15,10094
2011-08-16,16855
2011-08-17,6168
2011-08-18,6413
2011-08-19,8620
2011-08-20,8416
2011-08-21,10082
2011-08-22,9882
2011-08-23,17693
2011-08-24,1490
2011-08-25,10116
2011-08-26,6482
2011-08-27,20507
2011-08-28,1663
2011-08-29,24079
2011-08-30,14213
2011-08-31,15130
2011-09-01,9344
2011-09-02,8596
2011-09-03,10105
2011-09-04,7245
2011-09-05,10162
2011-09-06,10084
2011-09-07,10491
2011-09-08,17140
2011-09-09,11628
2011-09-10,4395
2011-09-11,10021
2011-09-12,12422
2011-09-13,7817
2011-09-14,9038
2011-09-15,15916
2011-09-16,12180
2011-09-17,11162
2011-09-18,15612
2011-09-19,11036
2011-09-20,16057
2011-09-21,140
2011-09-22,13077
2011-09-23,15094
2011-09-24,23215
2011-09-25,13886
2011-09-26,8916
2011-09-27,11170
2011-09-28,6417
2011-09-29,8471
2011-09-30,13478
2011-10-01,6649
2011-10-02,11989
2011-10-03,21453
2011-10-04,8384
2011-10-05,15475
2011-10-06,11675
2011-10-07,13598
2011-10-08,10176
2011-10-09,8690
2011-10-10,13523
2011-10-11,8595
2011-10-12,715
2011-10-13,12870
2011-10-14,11635
2011-10-15,4824
2011-10-16,12733
2011-10-17,7601
2011-10-18,12210
2011-10-19,9456
2011-10-20,8411
2011-10-21,19786
2011-10-22,12513
2011-10-23,6039
2011-10-24,13956
2011-10-25,10710
2011-10-26,7352
2011-10-27,11857
2011-10-28,13596
2011-10-29,6102
2011-10-30,11566
2011-10-31,12785
2011-11-01,12014
2011-11-02,13096
2011-11-03,13596
2011-11-04,15277
2011-11-05,9536
2011-11-06,10927
2011-11-07,8631
2011-11-08,10958
2011-11-09,6790
2011-11-10,19129
2011-11-11,11947
2011-11-12,11669
2011-11-13,13535
2011-11-14,12422
2011-11-15,11857
2011-11-16,144
2011-11-17,7332
2011-11-18,5044
2011-11-19,4755
2011-11-20,7768
2011-11-21,13277
2011-11-22,7242
2011-11-23,13932
2011-11-24,6698
2011-11-25,8731
2011-11-26,9620
2011-11-27,12258
2011-11-28,9854
2011-11-29,4533
2011-11-30,10800
2011-12-01,13259
2011-12-02,12019
2011-12-03,1595
2011-12-04,8265
2011-12-05,8478
2011-12-06,15512
2011-12-07,8594
2011-12-08,9883
2011-12-09,7491
2011-12-10,8592
2011-12-11,11115
2011-12-12,5751
2011-12-13,12331
2011-12-14,1803
2011-12-15,17212
2011-12-16,13236
2011-12-17,17932
2011-12-18,11873
2011-12-19,13355
2011-12-20,16681
2011-12-21,13159
2011-12-22,10640
2011-12-23,6385
2011-12-24,5039
2011-12-25,5887
2011-12-26,4654
2011-12-27,8052
2011-12-28,8417
2011-12-29,4925
2011-12-30,3991
2011-12-31,13863
2012-01-01,11766
2012-01-02,7042
2012-01-03,9539
2012-01-04,9704
2012-01-05,0
2012-01-06,5933
2012-01-07,8880
2012-01-08,22852
2012-01-09,8968
2012-01-10,10264
2012-01-11,8098
2012-01-12,11549
2012-01-13,10894
2012-01-14,3098
2012-01-15,10028
2012-01-16,7537
2012-01-17,9662
2012-01-18,9650
2012-01-19,9432
2012-01-20,12266
2012-01-21,7980
2012-01-22,8815
2012-01-23,13631
2012-01-24,9968
2012-01-25,8327
2012-01-26,11256
2012-01-27,9572
2012-01-28,14049
2012-01-29,14085
2012-01-30,8477
2012-01-31,9999
2012-02-01,11521
2012-02-02,11089
2012-02-03,14314
2012-02-04,14839
2012-02-05,12265
2012-02-06,11666
2012-02-07,10337
2012-02-08,8695
2012-02-09,9867
2012-02-10,9674
2012-02-11,16988
2012-02-12,7946
2012-02-13,14871
2012-02-14,11269
2012-02-15,14853
2012-02-16,8487
2012-02-17,8789
2012-02-18,12420
2012-02-19,19817
2012-02-20,1819
2012-02-21,0
2012-02-22,5671
2012-02-23,14033
2012-02-24,14455
2012-02-25,13622
2012-02-26,8660
2012-02-27,10623
2012-02-28,17460
2012-02-29,12636
2012-03-01,10389
2012-03-02,17570
2012-03-03,13580
2012-03-04,55
2012-03-05,8338
2012-03-06,13483
2012-03-07,16456
2012-03-08,7697
2012-03-09,14070
2012-03-10,10008
2012-03-11,8796
2012-03-12,15867
2012-03-13,12396
2012-03-14,15304
2012-03-15,7948
2012-03-16,5049
2012-03-17,12060
2012-03-18,8798
2012-03-19,12814
2012-03-20,8998
2012-03-21,12927
2012-03-22,9848
2012-03-23,7810
2012-03-24,12356
2012-03-25,10591
2012-03-26,10175
2012-03-27,12769
2012-03-28,14174
2012-03-29,11544
2012-03-30,16629
2012-03-31,14177
2012-04-01,13560
2012-04-02,7184
2012-04-03,11547
2012-04-04,0
2012-04-05,11743
2012-04-06,13238
2012-04-07,11272
2012-04-08,7583
2012-04-09,8467
2012-04-10,14850
2012-04-11,8141
2012-04-12,10705
2012-04-13,17106
2012-04-14,10594
2012-04-15,9416
2012-04-16,8003
2012-04-17,16765
2012-04-18,10769
2012-04-19,9064
2012-04-20,14258
2012-04-21,12414
2012-04-22,11728
2012-04-23,9374
2012-04-24,10047
2012-04-25,11728
2012-04-26,11813
2012-04-27,5107
2012-04-28,11851
2012-04-29,17367
2012-04-30,8765
2012-05-01,10095
2012-05-02,11725
2012-05-03,9615
2012-05-04,12445
2012-05-05,17711
2012-05-06,19076
2012-05-07,7703
2012-05-08,10433
2012-05-09,12418
2012-05-10,13404
2012-05-11,16612
2012-05-12,16393
2012-05-13,10326
2012-05-14,2631
2012-05-15,0
2012-05-16,128
2012-05-17,13000
2012-05-18,13096
2012-05-19,8315
2012-05-20,11770
2012-05-21,8442
2012-05-22,10058
2012-05-23,8132
2012-05-24,6843
2012-05-25,11425
2012-05-26,5809
2012-05-27,17500
2012-05-28,11228
2012-05-29,9517
2012-05-30,7909
2012-05-31,12844
2012-06-01,10492
2012-06-02,10797
2012-06-03,23538
2012-06-04,12180
2012-06-05,9078
2012-06-06,14250
2012-06-07,16739
2012-06-08,19901
2012-06-09,27014
2012-06-10,11552
2012-06-11,11555
2012-06-12,5928
2012-06-13,0
2012-06-14,0
2012-06-15,10647
2012-06-16,2074
2012-06-17,0
2012-06-18,0
2012-06-19,0
2012-06-20,0
2012-06-21,0
2012-06-22,0
2012-06-23,0
2012-06-24,0
2012-06-25,0
2012-06-26,0
2012-06-27,0
2012-06-28,0
2012-06-29,12692
2012-06-30,15717
2012-07-01,14431
2012-07-02,16246
2012-07-03,16094
2012-07-04,17232
2012-07-05,13518
2012-07-06,9060
2012-07-07,19870
2012-07-08,13651
2012-07-09,8682
2012-07-10,10526
2012-07-11,15343
2012-07-12,12147
2012-07-13,10335
2012-07-14,7212
2012-07-15,6401
2012-07-16,2622
2012-07-17,7896
2012-07-18,8293
2012-07-19,15223
2012-07-20,10838
2012-07-21,11085
2012-07-22,8855
2012-07-23,9498
2012-07-24,12843
2012-07-25,8360
2012-07-26,10389
